elevation_ft,area_acres
690,0
700,0
710,4
720,54
730,1350
740,3162
750,4781
760,5985
770,6908
780,8223
790,9664
800,13266
810,15235
820,17087
830,18724
840,20557
850,22540
860,24296
870,25877
880,27503
890,29191
900,31352
910,33565
920,35922
930,38203
940,40527
950,42869
960,45461
970,47847
980,50525
990,53518
1000,56374
1010,59475
1020,62533
1030,64624
1040,68834
1050,72208
1060,75832
1070,79451
1080,82849
1090,86358
1100,89814
1110,93860
1120,97731
1130,101596
1140,105824
1150,111056
1160,115683
1170,120310
1180,126664
1190,135555
1200,143563
1210,150919
1220,156473
1230,163223
