Year,Romance,Sport,Horror,Comedy,Action,Adventure,Sci-Fi,Crime,Drama,Family,Mystery,Thriller,War,Western,Musical,Documentary,Biography,Animation,Fantasy,History
1950,168,18,10,394,100,114,5,216,956,56,47,31,55,128,98,132,20,8,36,32
1951,221,23,17,431,78,114,18,177,1024,59,36,41,78,106,118,87,24,12,47,40
1952,208,19,13,475,90,143,12,160,1007,51,39,40,52,107,115,131,38,8,51,42
1953,242,22,24,483,100,152,23,164,1035,71,44,34,63,80,126,122,36,11,39,50
1954,251,14,25,423,98,163,24,172,1062,89,42,48,58,73,109,124,33,8,59,44
1955,270,15,22,462,105,141,21,186,1074,83,45,33,66,70,123,114,43,6,55,63
1956,285,18,38,485,133,125,30,189,1174,69,36,43,78,79,135,115,35,8,49,48
1957,282,13,67,517,169,139,39,249,1257,87,46,73,76,76,135,142,42,6,80,48
1958,335,13,71,563,149,153,46,246,1246,86,64,72,102,60,144,111,29,5,56,52
1959,327,7,57,573,179,171,38,241,1229,91,70,93,119,49,147,108,28,9,58,65
1960,341,13,67,570,227,167,22,330,1311,100,63,80,107,57,129,155,40,6,67,70
1961,330,16,48,580,253,216,22,252,1272,105,73,96,116,62,122,168,29,15,66,71
1962,326,19,59,595,269,242,31,233,1272,110,73,94,103,50,142,160,31,12,65,58
1963,275,25,70,598,273,207,24,251,1200,85,77,84,99,43,129,188,23,8,59,48
1964,330,29,80,643,324,244,32,266,1279,79,74,100,113,89,148,187,23,12,76,60
1965,359,23,79,599,356,254,31,249,1349,88,77,112,137,99,132,194,37,14,69,66
1966,357,25,70,595,407,299,55,320,1370,87,82,111,106,125,140,173,28,15,68,58
1967,357,19,70,607,361,301,47,340,1404,94,72,147,101,106,165,193,20,21,65,53
1968,376,25,97,628,329,284,42,332,1601,83,80,129,123,115,124,243,27,21,80,53
1969,417,26,102,653,469,287,45,364,1738,89,79,138,116,98,119,243,32,16,93,75
1970,420,34,121,735,378,312,40,305,1713,110,66,122,113,87,119,344,44,22,105,67
1971,371,23,162,717,374,282,36,344,1651,90,96,146,83,115,105,325,42,20,89,78
1972,344,35,191,726,421,298,42,366,1630,123,108,165,78,114,108,320,48,20,90,76
1973,289,29,184,696,484,255,35,413,1573,120,66,177,71,72,73,319,50,25,91,88
1974,358,28,175,714,452,238,40,364,1563,129,84,181,74,30,80,327,38,23,95,61
1975,285,20,158,769,366,239,34,313,1501,101,97,158,87,50,84,396,66,22,70,61
1976,324,35,142,764,384,213,38,336,1500,128,69,146,77,35,72,367,45,23,81,83
1977,287,27,153,632,434,214,48,282,1485,121,75,149,64,15,64,389,55,28,90,64
1978,291,34,123,634,431,191,49,247,1580,122,83,149,56,25,72,391,40,36,89,56
1979,306,47,123,719,480,224,64,256,1573,139,76,128,79,27,74,386,52,37,94,72
1980,280,26,163,718,458,181,67,255,1573,105,84,160,71,17,88,444,64,34,88,74
1981,308,27,175,719,416,194,51,236,1558,135,93,161,81,15,83,419,63,42,88,80
1982,307,32,165,728,445,184,54,247,1628,148,78,177,72,17,79,406,53,56,108,64
1983,325,33,125,698,469,185,69,243,1679,120,83,164,95,11,75,451,49,59,112,66
1984,322,34,136,728,420,184,83,274,1668,147,83,175,79,11,65,458,70,51,94,64
1985,360,29,150,789,463,182,68,285,1673,136,80,183,95,11,80,436,72,53,105,61
1986,361,37,162,765,531,191,77,309,1765,164,70,196,85,13,65,409,63,67,112,50
1987,332,31,227,786,591,218,95,318,1865,148,95,221,94,12,62,406,56,56,135,72
1988,379,27,267,769,658,205,95,334,1759,105,118,254,95,5,67,485,73,52,150,71
1989,353,27,255,850,658,192,87,397,1772,129,110,286,91,9,48,460,72,40,161,80
1990,357,25,219,819,738,169,82,441,1709,110,103,294,77,11,41,505,59,51,156,66
1991,358,34,196,799,636,159,74,352,1698,113,111,269,71,14,53,572,65,52,155,80
1992,427,33,183,795,616,127,62,362,1588,97,90,281,56,11,60,592,60,48,123,81
1993,400,25,149,732,586,123,65,384,1565,115,76,297,61,12,44,557,90,44,118,79
1994,376,39,143,775,563,142,60,333,1580,126,107,285,60,16,35,671,80,47,114,65
1995,403,34,169,751,600,146,98,325,1594,126,117,306,71,17,40,703,110,58,92,72
1996,405,38,142,820,515,134,94,298,1574,131,98,277,58,6,42,741,99,74,107,84
1997,452,31,156,903,519,136,101,327,1749,126,107,309,60,3,40,887,93,74,94,98
1998,509,40,192,951,506,159,96,345,1744,133,118,307,53,9,31,920,84,60,112,61
