Year,Romance,Sport,Horror,Comedy,Action,Adventure,Sci-Fi,Crime,Drama,Family,Mystery,Thriller,War,Western,Musical,Documentary,Biography,Animation,Fantasy,History
1980,280,26,163,718,458,181,67,255,1573,105,84,160,71,17,88,444,64,34,88,74
1981,308,27,175,719,416,194,51,236,1558,135,93,161,81,15,83,419,63,42,88,80
1982,307,32,165,728,445,184,54,247,1628,148,78,177,72,17,79,406,53,56,108,64
1983,325,33,125,698,469,185,69,243,1679,120,83,164,95,11,75,451,49,59,112,66
1984,322,34,136,728,420,184,83,274,1668,147,83,175,79,11,65,458,70,51,94,64
1985,360,29,150,789,463,182,68,285,1673,136,80,183,95,11,80,436,72,53,105,61
1986,361,37,162,765,531,191,77,309,1765,164,70,196,85,13,65,409,63,67,112,50
1987,332,31,227,786,591,218,95,318,1865,148,95,221,94,12,62,406,56,56,135,72
1988,379,27,267,769,658,205,95,334,1759,105,118,254,95,5,67,485,73,52,150,71
1989,353,27,255,850,658,192,87,397,1772,129,110,286,91,9,48,460,72,40,161,80
1990,357,25,219,819,738,169,82,441,1709,110,103,294,77,11,41,505,59,51,156,66
1991,358,34,196,799,636,159,74,352,1698,113,111,269,71,14,53,572,65,52,155,80
1992,427,33,183,795,616,127,62,362,1588,97,90,281,56,11,60,592,60,48,123,81
1993,400,25,149,732,586,123,65,384,1565,115,76,297,61,12,44,557,90,44,118,79
1994,376,39,143,775,563,142,60,333,1580,126,107,285,60,16,35,671,80,47,114,65
1995,403,34,169,751,600,146,98,325,1594,126,117,306,71,17,40,703,110,58,92,72
1996,405,38,142,820,515,134,94,298,1574,131,98,277,58,6,42,741,99,74,107,84
1997,452,31,156,903,519,136,101,327,1749,126,107,309,60,3,40,887,93,74,94,98
1998,509,40,192,951,506,159,96,345,1744,133,118,307,53,9,31,920,84,60,112,61
1999,492,44,211,987,513,136,77,342,1842,156,94,359,56,9,40,982,93,77,101,79
2000,526,56,242,1002,498,165,86,402,1932,158,132,404,62,9,74,1112,110,81,121,71
2001,601,56,232,1092,588,180,93,404,2098,153,148,396,64,9,68,1277,98,77,147,67
2002,654,67,247,1118,579,192,91,363,2216,149,152,370,61,12,62,1420,107,80,141,74
2003,586,67,267,1273,570,211,82,356,2285,163,154,397,64,13,69,1674,105,94,142,83
2004,622,78,364,1285,587,205,112,346,2372,159,188,455,96,6,67,2002,128,89,152,101
2005,668,97,431,1466,543,221,115,371,2745,181,227,464,86,20,92,2380,167,109,179,136
2006,687,128,521,1584,528,254,115,398,2967,218,210,513,100,13,110,2588,189,136,200,152
2007,727,149,561,1623,588,240,146,490,3187,217,238,549,128,18,103,2836,213,158,191,195
2008,732,176,615,1848,668,329,151,520,3637,272,266,629,140,21,125,3486,276,153,222,207
2009,814,204,754,2187,798,422,195,603,4340,361,342,763,127,25,125,4086,433,182,276,347
2010,927,195,814,2341,959,521,242,593,4831,460,382,848,146,28,158,4513,720,216,301,577
2011,926,244,943,2491,980,587,281,628,4998,566,432,914,151,37,146,4820,788,260,348,611
2012,967,327,1049,2662,987,663,305,691,5356,660,470,1042,142,37,149,5230,896,283,357,698
2013,1129,292,1116,2858,1124,755,368,796,5844,812,539,1274,114,37,145,5442,1089,269,372,839
2014,1253,340,1214,3065,1182,843,369,821,6112,834,580,1340,180,39,169,5896,1218,305,417,872
