Year,Romance,Horror,Family,Thriller,Documentary,Biography,History
1980,280,163,105,160,444,64,74
1981,308,175,135,161,419,63,80
1982,307,165,148,177,406,53,64
1983,325,125,120,164,451,49,66
1984,322,136,147,175,458,70,64
1985,360,150,136,183,436,72,61
1986,361,162,164,196,409,63,50
1987,332,227,148,221,406,56,72
1988,379,267,105,254,485,73,71
1989,353,255,129,286,460,72,80
1990,357,219,110,294,505,59,66
1991,358,196,113,269,572,65,80
1992,427,183,97,281,592,60,81
1993,400,149,115,297,557,90,79
1994,376,143,126,285,671,80,65
1995,403,169,126,306,703,110,72
1996,405,142,131,277,741,99,84
1997,452,156,126,309,887,93,98
1998,509,192,133,307,920,84,61
1999,492,211,156,359,982,93,79
2000,526,242,158,404,1112,110,71
2001,601,232,153,396,1277,98,67
2002,654,247,149,370,1420,107,74
2003,586,267,163,397,1674,105,83
2004,622,364,159,455,2002,128,101
2005,668,431,181,464,2380,167,136
2006,687,521,218,513,2588,189,152
2007,727,561,217,549,2836,213,195
2008,732,615,272,629,3486,276,207
2009,814,754,361,763,4086,433,347
2010,927,814,460,848,4513,720,577
2011,926,943,566,914,4820,788,611
2012,967,1049,660,1042,5230,896,698
2013,1129,1116,812,1274,5442,1089,839
2014,1253,1214,834,1340,5896,1218,872
